Date Collected,Date Expt,Treatment,CTmin,Mass
08-Aug-23,15-Aug-23,Summer,-0.5,1.39
08-Aug-23,15-Aug-23,Summer,1.1,1.25
08-Aug-23,15-Aug-23,Summer,0.6,1.22
08-Aug-23,15-Aug-23,Summer,1.1,0.78
08-Aug-23,15-Aug-23,Summer,1.5,1.09
08-Aug-23,15-Aug-23,Summer,0.9,1.04
08-Aug-23,15-Aug-23,Summer,0.2,1.07
08-Aug-23,15-Aug-23,Summer,1.5,1.08
27-Aug-23,18-Sep-23,Summer,-0.1,0.65
27-Aug-23,18-Sep-23,Summer,0,1
27-Aug-23,18-Sep-23,Summer,-1.1,0.52
27-Aug-23,18-Sep-23,Summer,-0.6,0.51
27-Aug-23,18-Sep-23,Summer,1,0.66
27-Aug-23,18-Sep-23,Summer,0.8,0.75
27-Aug-23,18-Sep-23,Summer,1.7,0.55
27-Aug-23,18-Sep-23,Summer,2,0.63
27-Aug-23,11-Oct-23,Fall,0.35,0.45
27-Aug-23,11-Oct-23,Fall,-2.2,0.72
27-Aug-23,11-Oct-23,Fall,0.53,0.45
27-Aug-23,11-Oct-23,Fall,-1.3,0.43
27-Aug-23,11-Oct-23,Fall,-0.8,0.54
27-Aug-23,11-Oct-23,Fall,-1.2,0.35
